age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32,4,104273,11,5,5,2,4,1,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,4,387142,11,5,6,2,4,1,0,0,58,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
58,4,40166,8,2,6,0,4,1,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
42,6,181689,15,5,4,1,4,0,0,0,58,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
59,4,40166,15,2,6,0,4,1,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,1,181689,11,4,8,1,4,0,0,0,36,39,0
32,4,104273,11,5,5,1,4,1,0,0,58,39,0
51,4,261310,9,0,12,1,4,0,0,0,58,39,0
26,4,104273,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
58,4,40166,5,2,6,0,4,1,0,0,40,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
42,4,181689,15,5,4,1,4,0,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
26,4,104273,12,0,12,1,4,1,0,0,58,39,1
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,1,181689,7,5,4,2,4,0,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,4,104273,11,5,5,1,4,1,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
42,1,181689,8,5,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
51,4,261310,9,0,12,1,4,0,0,0,58,39,1
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
32,4,104273,11,5,12,1,4,1,0,0,58,39,0
32,1,181689,7,4,8,2,4,0,0,0,58,39,0
42,4,326182,15,5,4,1,4,0,0,0,58,39,0
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
32,1,181689,7,4,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,6,181689,15,5,4,1,4,0,0,0,58,39,0
42,1,181689,8,5,4,2,4,0,0,0,58,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,1,181689,8,5,4,2,4,0,0,0,58,39,0
26,4,104273,12,0,12,1,4,1,0,0,58,39,1
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
32,4,104273,11,5,6,2,4,1,0,0,58,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
58,4,40166,5,2,6,0,4,1,0,0,40,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
32,1,181689,11,4,8,1,4,0,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
59,4,40166,8,2,6,0,4,1,0,0,36,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
42,1,181689,8,5,4,2,4,0,0,0,58,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,4,104273,11,5,12,1,4,1,0,0,58,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
42,4,261310,12,0,12,1,4,1,0,0,58,39,1
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,4,181689,15,5,4,1,4,0,0,0,58,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
59,4,40166,8,2,6,0,4,1,0,0,36,39,0
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
51,4,261310,15,0,12,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
32,4,104273,11,5,5,2,4,1,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,4,181689,15,5,4,1,4,0,0,0,58,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
51,4,261310,9,0,12,1,4,0,0,0,58,39,1
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,1,181689,11,4,8,1,4,0,0,0,36,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
59,4,40166,8,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
42,4,261310,12,0,12,1,4,1,0,0,58,39,1
42,6,181689,8,5,4,1,4,0,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
26,4,104273,12,0,12,1,4,1,0,0,58,39,1
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,4,104273,11,5,6,2,4,1,0,0,58,39,0
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
59,4,133328,15,2,6,0,4,1,0,0,36,39,0
42,1,181689,8,5,4,2,4,0,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
32,1,181689,7,4,8,2,4,0,0,0,36,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
26,4,104273,12,0,12,1,4,1,0,0,58,39,1
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
42,6,181689,15,5,4,1,4,0,0,0,58,39,0
42,4,326182,15,5,4,1,4,0,0,0,58,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
58,4,40166,8,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
32,4,104273,11,5,6,2,4,1,0,0,58,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
58,4,40166,8,2,6,0,4,1,0,0,36,39,0
59,4,40166,8,2,6,0,4,1,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
51,4,261310,9,0,12,1,4,0,0,0,58,39,1
42,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,261310,9,0,12,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
58,4,40166,8,2,6,0,4,1,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,4,387142,11,5,6,2,4,1,0,0,58,39,0
42,4,326182,15,5,4,1,4,0,0,0,58,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
42,4,326182,15,5,4,1,4,0,0,0,58,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
58,4,40166,8,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,4,387142,11,5,6,2,4,1,0,0,58,39,0
51,4,261310,15,0,12,1,4,0,0,0,58,39,0
32,4,104273,11,5,6,2,4,1,0,0,58,39,0
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
59,4,40166,8,2,6,0,4,1,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,4,104273,11,5,5,2,4,1,0,0,58,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
59,4,40166,8,2,6,0,4,1,0,0,36,39,0
32,1,181689,7,4,8,2,4,0,0,0,58,39,0
42,6,181689,15,5,4,1,4,0,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
58,4,40166,5,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
32,4,104273,11,5,5,2,4,1,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
42,4,326182,15,5,4,1,4,0,0,0,58,39,0
59,1,133328,15,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
42,6,181689,15,5,4,1,4,0,0,0,58,39,0
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
32,4,104273,11,5,5,2,4,1,0,0,58,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
32,4,104273,11,5,5,2,4,1,0,0,58,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,4,181689,15,5,4,1,4,0,0,0,58,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,1,181689,11,4,8,1,4,0,0,0,36,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
58,4,387142,5,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
59,4,40166,8,2,6,0,4,1,0,0,36,39,0
26,4,104273,12,0,12,1,4,1,0,0,58,39,1
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
42,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,4,104273,11,5,6,2,4,1,0,0,58,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
32,1,181689,7,4,8,1,4,0,0,0,36,39,0
32,1,181689,7,4,8,1,4,0,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
59,1,133328,15,2,6,0,4,1,0,0,36,39,0
51,4,261310,15,0,12,1,4,0,0,0,58,39,0
42,6,181689,15,5,4,1,4,0,0,0,58,39,0
32,4,104273,11,5,5,2,4,1,0,0,58,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
42,4,261310,12,0,12,1,4,1,0,0,58,39,1
58,4,40166,8,2,6,0,4,1,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
32,1,181689,7,4,8,2,4,0,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
42,1,181689,8,5,4,1,4,0,0,0,58,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
58,4,387142,5,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
58,4,387142,5,2,6,0,4,1,0,0,40,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
51,4,261310,9,0,12,1,4,0,0,0,58,39,1
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
59,4,133328,15,2,6,0,4,1,0,0,36,39,0
32,1,181689,7,4,8,1,4,0,0,0,36,39,0
32,4,104273,11,5,12,1,4,1,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
32,4,181689,11,4,12,1,4,1,0,0,58,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,261310,9,0,12,1,4,0,0,0,58,39,1
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
32,1,181689,7,4,8,2,4,0,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
42,1,181689,8,5,4,2,4,0,0,0,58,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
51,4,261310,9,0,12,1,4,0,0,0,58,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
59,4,133328,15,2,6,0,4,1,0,0,36,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
26,4,104273,12,0,12,1,4,1,0,0,58,39,1
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
32,6,181689,11,4,12,1,4,0,0,0,36,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
32,6,181689,11,4,8,1,4,0,0,0,36,39,0
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
26,4,387142,12,0,12,1,4,1,0,0,58,39,1
42,4,326182,15,6,4,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,1,181689,8,5,4,1,4,0,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
51,4,387142,11,2,6,2,4,1,0,0,40,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
51,4,387142,11,2,6,0,4,1,0,0,40,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
58,4,387142,11,2,6,0,4,1,0,0,40,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
37,4,40166,8,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
59,4,40166,8,2,6,0,4,1,0,0,36,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
42,4,261310,12,0,12,1,4,1,0,0,58,39,1
32,4,181689,11,4,12,1,4,1,0,0,36,39,0
26,4,104273,12,0,12,1,4,1,0,0,58,39,1
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
58,4,40166,8,2,6,0,4,1,0,0,36,39,0
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
32,1,181689,7,4,8,2,4,0,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
32,1,181689,7,4,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
51,4,261310,12,0,12,1,4,1,0,0,58,39,1
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
51,4,261310,15,0,4,1,4,0,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
42,1,181689,8,5,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
42,4,326182,15,5,4,1,4,0,0,0,58,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
26,4,261310,12,0,12,1,4,1,0,0,58,39,1
58,4,40166,8,2,6,0,4,1,0,0,36,39,0
51,4,261310,12,0,12,1,4,0,0,0,58,39,1
32,4,181689,11,5,12,1,4,1,0,0,58,39,0
51,4,261310,15,0,12,1,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,1,181689,7,5,4,2,4,0,0,0,58,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
37,4,40166,0,2,6,0,4,1,0,0,36,39,0
59,4,40166,15,2,6,0,4,1,0,0,36,39,0
32,4,181689,11,4,12,1,4,0,0,0,36,39,0
37,4,40166,5,2,6,0,4,1,0,0,36,39,0
42,1,181689,8,5,4,2,4,0,0,0,58,39,0
